theme,color
12V,Black
4 Juniors,White
4.5V,Black
9V,Black
Advent,Red
Advent Sub-Set,Red
Adventurers,Black
Agents,Black
Agori,Black
Airjitzu,Black
Airport,White
Alien Conquest,Light Bluish Gray
Alpha Team,Black
An Unexpected Journey,Reddish Brown
Angry Birds,Light Bluish Gray
Animals,White
Aquanauts,Yellow
Aquaraiders I,Black
Aquaraiders II,Black
Aquasharks,Black
Aquazone,Black
Aquazone,Dark Gray
Aquazone,Yellow
Aquazone,Chrome Silver
Architecture,White
Arctic,Black
Arctic Technic,Light Gray
Arctic Technic,White
Atlantis,Black
Avatar,Black
Avengers,Black
Barraki,Black
Basic,Red
Basic Model,Red
Basic Set,Red
Basketball,Black
Batman,Black
Battle Vehicles,Black
Belville,White
Ben 10,Dark Blue
Bionicle,Black
Black Falcons,Black
Black Knights,Black
Blacktron I,Black
Blacktron II,Black
Boat,White
Bohrok,Black
Bohrok Va,Black
Bohrok-Kal,Light Gray
Books,Black
Brickheadz,Black
Bricktober,White
Building,White
Building Set with People,Red
Bulk Bricks,Black
Cargo,Black
Cars,Black
Castle,Black
Chamber of Secrets,Black
Christmas,White
City,Black
Classic,White
Classic Basic,Red
Classic Castle,Yellow
Classic Space,Light Gray
Classic Town,Green
Clikits,Trans-Dark Pink
Coast Guard,White
Collectible Minifigures,Black
Competition,Black
Constraction,Black
Construction,Black
Control Lab,Dark Gray
Control Lab,Black
Cowboys,Black
Creator,Black
Creature,Black
Crusaders,Black
DFB Minifigures,White
Dark Forest,Black
Desert,Black
Designer Sets,Black
Dimensions,Black
Dino,Yellow
Dino 2010,Black
Dino Attack,Black
Dino Island,Light Gray
Dino Island,Black
Dinosaurs,Sand Blue
Discovery,Light Gray
Disney,White
Disney Princess,White
Disney's Mickey Mouse,Red
Divers,Black
Drome Racers,Black
Duplo,Red
EV3,Black
Easter,Yellow
Educational and Dacta,White
Elves,Black
Exo-Force,Black
Expert Builder,Light Gray
Exploriens,White
Extreme Team,Black
FIRST LEGO League,Black
Fabuland,Yellow
Factory,Black
Fairy-Tale,White
Fantasy Era,Black
Farm,Black
Ferrari,Red
Ferries,White
Fire,Red
Food & Drink,White
Forestmen,Black
Freestyle,Yellow
Friends,White
Fright Knights,Black
Fusion,Light Bluish Gray
Fusion,Black
Futuron,White
Galaxy Squad,Dark Bluish Gray
Game,Black
Gas Station,White
Gear,White
Gears,Red
Ghostbusters,Black
Glatorian,Black
Glatorian Legends,Black
Goblet of Fire,Black
Golden Land,Dark Pink
Gravity Games,White
Guardians of the Galaxy,Black
HO 1:87 Vehicles,Black
Halloween,Black
Harbor,Black
Harry Potter,Black
Hero Factory,Black
Heroes,Black
Hobby Sets,Black
Hockey,Black
Holiday,Brown
Homemaker,White
Hospital,White
Hydronauts,Black
Ice Planet 2002,Black
Imperial Armada,Black
Imperial Soldiers,Black
Indians,Black
Insectoids,Black
Inventor,Black
Iron Man,Black
Island Xtreme Stunts,Black
Islanders,Black
Jumbo Bricks,White
Jumbo Bricks,Blue
Jumbo Bricks,Red
Jungle,Black
Jungle Rescue,Light Bluish Gray
Juniors,White
Jurassic Park III,Black
Jurassic World,Black
Justice League,Black
Key Chain,White
Kingdom of the Crystal Skull,Dark Bluish Gray
Kingdoms,Reddish Brown
Knights Kingdom I,Black
Knights Kingdom II,Black
LEGO Brand Store,Black
LEGO Exclusive,Black
LEGO Ideas and CUUSOO,Light Bluish Gray
Lamborghini,Black
Last Crusade,Light Bluish Gray
Launch Command,White
Learning,White
Legend Beasts,White
Legends of Chima,Black
Legoland,White
Legoland Parks,Yellow
Life On Mars,Light Gray
Lion Knights,Black
M:Tron,Black
Mars Mission,Black
Marvel,Black
Master Building Academy,Black
Matoran of Light,Pearl Light Gray
Matoran of Light,Black
Matoran of Light,Dark Bluish Gray
Matoran of Mahri Nui,Black
Matoran of Mata Nui,Light Gray
Matoran of Metru Nui,Black
Matoran of Voya Nui,Black
Mindstorms,Black
Minecraft,Light Bluish Gray
Mini,Light Bluish Gray
Minifig Pack,Black
Minitalia,Red
Mission Deep Freeze,Black
Mission Deep Sea,Black
Mistika,Black
Model,Black
Model Team,Black
Modular Buildings,Light Bluish Gray
Monster Fighters,Black
Monthly Mini Model Build,White
Mosaic,Black
My Own Creation,Light Gray
My Own Train,Black
NXT,Black
Nexo Knights,Black
Ninja,Black
Ninjago,Black
Off-Road,Black
Order of the Phoenix,Light Bluish Gray
Orient Expedition,Black
Other,Black
Outback,Black
Paradisa,White
Phantoka,Dark Bluish Gray
Pharaoh's Quest,Black
Pick A Model,Black
Piraka,Black
Pirates,Black
Pirates I,Black
Pirates II,Black
Pirates III,Reddish Brown
Pirates of the Caribbean,Black
Planet Series 2,Light Bluish Gray
Planet Series 3,Black
Planet Series 4,Black
Playhouse,White
Playsets,Black
Police,White
Post Office,Yellow
Power Functions,Light Bluish Gray
Power Miners,Light Bluish Gray
Power Racers,Black
Prince of Persia,Black
Prisoner of Azkaban,Black
Promotional,White
Protectors,Black
RC Train,Black
RCX,Black
Race,Black
Racers,Black
Radio Control,Black
Rahaga,Black
Rahi,Black
Rahkshi,Dark Gray
Raiders of the Lost Ark,Dark Bluish Gray
Recreation,White
Res-Q,Black
Riding Cycle,Black
RoboForce,Black
RoboRiders,Black
Robot,Black
Rock Raiders,Dark Gray
Royal Knights,Black
Scala,White
Scooby-Doo,Light Bluish Gray
Sculptures,White
Seasonal,White
Series 1,Black
Series 1 Minifigures,Black
Series 10 Minifigures,Black
Series 11 Minifigures,Black
Series 12 Minifigures,Black
Series 13 Minifigures,Black
Series 14 Minifigures,Black
Series 15 Minifigures,Black
Series 16 Minifigures,Black
Series 17 Minifigures,Black
Series 2,Black
Series 2 Minifigures,Black
Series 3,Black
Series 3 Minifigures,Black
Series 4,Black
Series 4 Minifigures,Black
Series 5,Black
Series 5 Minifigures,Black
Series 6,Black
Series 6 Minifigures,Black
Series 7,Black
Series 7 Minifigures,Black
Series 8,White
Series 8 Minifigures,Black
Series 9,Black
Series 9 Minifigures,Black
Service Packs,Black
Skull Spiders,Black
Skylines,Black
Soccer,White
Soft Bricks,Red
Sorcerer's Stone,Light Gray
Space,White
