"date","continent","low_country","low_idx","high_country","high_idx"
"20200401","Africa","South Africa, Republic of","0.91762","Lesotho, Kingdom of","9074.00000"
"20200401","Asia","Iran, Islamic Republic of","0.01953","Timor-Leste, Democratic Republic of","7500.00000"
"20200401","Europe","Spain, Kingdom of","0.01092","Monaco, Principality of","25.65500"
"20200401","North America","United States of America","0.00320","Belize","525.00000"
"20200401","Oceania","Australia, Commonwealth of","0.19980","Tonga, Kingdom of","9352.00000"
"20200401","South America","Brazil, Federative Republic of","0.12185","Suriname, Republic of","249.55000"
"20210401","Africa","Cameroon, Republic of","0.01474","Congo, Republic of the","4722.00000"
"20210401","Asia","India, Republic of","0.00089","Tajikistan, Republic of","2870.00000"
"20210401","Europe","France, French Republic","0.00179","Faroe Islands","4815.00000"
"20210401","North America","United States of America","0.00085","Greenland","3704.00000"
"20210401","Oceania","Papua New Guinea, Independent State of","0.21681","Fiji, Republic of the Fiji Islands","4907.00000"
"20210401","South America","Brazil, Federative Republic of","0.00096","Suriname, Republic of","13.31324"
"20220401","Africa","Botswana, Republic of","0.00234","Guinea, Republic of","4630.00000"
"20220401","Asia","Mongolia","0.00000","Macao, Special Administrative Region of China","3241.00000"
"20220401","Europe","France, French Republic","0.00014","Faroe Islands","1111.00000"
"20220401","North America","United States of America","0.00107","El Salvador, Republic of","3322.00000"
"20220401","Oceania","Australia, Commonwealth of","0.00075","Kiribati, Republic of","106.13750"
"20220401","South America","Brazil, Federative Republic of","0.00138","Guyana, Co-operative Republic of","5.18000"
