country_date_id,cases,death
66773,91260,754
97519,3430,13
143144,817530,16768
141881,15476,434
80474,1096718,34326
15766,2004892,29288
102083,1385,82
171363,3051,65
179563,190165,5001
68047,30715,387
38740,13588,183
59988,0,0
4639,9083,91
108374,9840,133
8039,105123,1291
1349,39572,1471
129658,8193,197
63457,9116,59
98727,176,0
191390,3,0
183538,169396,3630
20687,435620,3344
162107,10688,115
126074,31,0
155156,1403242,1408
188067,85005,714
61297,877840,33127
88559,2381277,82177
25471,0,0
159655,2835,90
195537,36044,1463
182195,26309,734
116643,2118,113
12086,787891,22261
26354,89339,482
6078,833201,2228
88288,197675,26644
48324,15690,189
12035,677209,20396
89785,49735,1037
182091,1367,50
61425,3517177,82975
35718,80718,785
9229,1889437,17236
27152,13742,93
35137,13696,87
63989,47594,303
4380,755,48
15390,1179827,19521
29370,261913,2608
53236,511317,32819
151899,748121,9013
167253,17184,658
82288,11173761,157548
81559,4267451,144144
80497,1230385,38028
50030,355257,2633
10337,791077,9633
4710,11809,115
31202,1327214,24870
61688,6982376,115282
156879,5836,108
75693,1047,4
16437,422619,18154
34387,99586,4636
188522,445082,5335
76111,11881,210
31820,374,2
634,15022,154
93128,1073786,18211
534,11018,107
163624,81106,1385
139191,2806694,44567
134191,1170815,890
7929,30273,910
7627,25053,525
163252,39908,845
118978,142045,3200
56626,12234806,105952
191182,0,0
178461,949,38
109001,257503,1087
7133,6664717,117670
112537,154,4
51464,641677,4384
103696,501916,6430
139968,1111,10
58455,300092,4593
56542,11078028,100239
13305,9065,113
9705,22464,284
35273,21168,131
166075,107355,5929
58346,264367,3938
126309,33832,350
179130,979612,27375
120494,925073,2115
97574,3430,13
112985,3451,36
2175,0,0
135338,397993,4628
134043,14467,49
48521,18,0
146614,247796,614
103946,1,0
3235,0,0
123029,395,10
68260,36764,442
12498,3972963,31165
88893,5238221,134929
161520,2318677,16829
24182,916092,21952
4585,6534,76
79916,3771,499
149384,3907653,75010
111114,696,5
10766,191,1
71151,15303,220
184684,0,0
123391,15391,79
58227,131546,2033
33959,80867,3213
184116,2279556,53607
177912,44481,1278
13240,8109,102
144744,715569,19494
191867,11722,14
41538,35928,315
62364,494,0
121399,189080,2006
132170,1460930,4004
111785,526651,9238
96774,0,0
141375,4547315,103846
121212,80151,904
35228,20183,120
29298,196090,2421
108739,79018,836
77476,422275,10892
156141,15677,141
26536,50,0
40093,6131657,139918
154263,28,0
141101,2798617,67924
135315,397846,4628
188104,98665,863
19531,181927,7298
13066,3167,44
192174,1674,469
77538,426095,10904
136629,70231,1553
179474,7402,108
10455,793388,9717
13583,26952,163
149089,47121,405
169870,55945,3150
50566,6416,286
30735,10,0
15489,1570238,27880
11038,2810,6
142885,46512,1660
52809,100688,6065
21282,18,2
166655,2504894,18897
63354,8006,51
159380,19793,118
91349,24,0
93376,1481621,19046
139937,835,9
39202,0,0
