id,country,date
35641,CIV,20211118
46279,DEU,20200303
4145,ALB,20220723
52075,DZA,20210714
30352,CAF,20211221
17231,BHR,20201022
11239,BDI,20211013
40791,COM,20220717
28322,BTN,20220212
61753,FRA,20211231
60325,FJI,20201221
21206,BLZ,20200308
20219,BLR,20200421
55343,ERI,20211031
23848,BOL,20210730
55693,ERI,20221011
21198,BLZ,20200229
15584,BGD,20220204
47940,DJI,20211026
17221,BHR,20201013
49346,DMA,20220927
57390,EST,20210814
56889,EST,20200414
7082,ARG,20211123
42030,CRI,20200218
17553,BHR,20210901
31179,CAN,20210422
47032,DEU,20220309
50085,DNK,20211113
3186,AGO,20221030
57127,EST,20201202
22830,BMU,20210831
11650,BEL,20200104
27088,BRN,20210904
16281,BGR,20210208
9474,AUT,20220921
47959,DJI,20211113
27549,BTN,20200120
25006,BRA,20211023
14946,BGD,20200521
57237,EST,20210321
42681,CRI,20211109
51212,DOM,20220109
10899,BDI,20201115
40614,COM,20220121
34607,CHN,20211205
33798,CHL,20220821
9436,AUT,20220818
6819,ARG,20210313
4259,ALB,20221111
61406,FRA,20210201
23932,BOL,20211020
39695,COL,20210608
47365,DJI,20200419
39062,COG,20220714
2381,AGO,20200907
38391,COG,20201006
3323,ALB,20200513
15342,BGD,20210609
25185,BRA,20220416
17238,BHR,20201029
37285,COD,20200801
10394,AZE,20220510
38521,COG,20210211
4162,ALB,20220809
42362,CRI,20210104
21893,BLZ,20220111
36810,CMR,20220228
19222,BIH,20200616
22629,BMU,20210214
52174,DZA,20211017
20463,BLR,20201214
19957,BIH,20220531
24217,BOL,20220725
29075,BWA,20210506
23585,BOL,20201112
16473,BGR,20210818
24659,BRA,20201121
48475,DMA,20200602
26016,BRB,20210827
33262,CHL,20210313
6291,ARE,20220824
60075,FJI,20200425
25976,BRB,20210719
5947,ARE,20210920
27819,BTN,20201010
7640,AUS,20200906
3454,ALB,20200918
33682,CHL,20220428
54998,ERI,20201125
34219,CHN,20201125
22457,BMU,20200830
9022,AUT,20210715
7066,ARG,20211108
36321,CMR,20201110
5568,ARE,20200917
60952,FJI,20220817
2844,AGO,20211130
1142,AFG,20200317
5044,AND,20220213
3071,AGO,20220711
61595,FRA,20210730
61905,FRA,20220526
61685,FRA,20211027
27400,BRN,20220711
30212,CAF,20210808
45756,CZE,20210815
38935,COG,20220313
42731,CRI,20211228
18092,BHS,20200403
17072,BHR,20200522
21873,BLZ,20211222
53804,EGY,20200624
2901,AGO,20220125
43870,CUB,20220308
31367,CAN,20211023
24988,BRA,20211005
20934,BLR,20220315
53916,EGY,20201011
37747,COD,20211028
5666,ARE,20201222
44826,CYP,20211230
51473,DOM,20220922
57785,EST,20220827
61780,FRA,20220125
20950,BLR,20220331
4647,AND,20210126
30334,CAF,20211203
48534,DMA,20200729
45165,CZE,20200112
2319,AGO,20200708
40575,COM,20211213
23079,BMU,20220503
6648,ARG,20201004
22439,BMU,20200813
13032,BEN,20201119
22572,BMU,20201221
47220,DEU,20220910
61716,FRA,20211126
33105,CHL,20201013
60733,FJI,20220120
16928,BGR,20221114
4528,AND,20201002
1274,AFG,20200725
42241,CRI,20200909
32266,CHE,20210516
45646,CZE,20210430
60855,FJI,20220517
53209,ECU,20210909
19975,BIH,20220616
47398,DJI,20200521
50637,DOM,20200707
60779,FJI,20220306
37372,COD,20201025
32633,CHE,20220510
24057,BOL,20220220
13083,BEN,20210108
38182,COG,20200316
11134,BDI,20210703
46321,DEU,20200412
33477,CHL,20211006
55151,ERI,20210424
1571,AFG,20210512
24529,BRA,20200718
46119,CZE,20220803
15038,BGD,20200819
561,ABW,20210629
43063,CUB,20200103
54012,EGY,20210113
15794,BGD,20220826
1376,AFG,20201102
18408,BHS,20210205
39313,COL,20200612
56348,ESP,20210830
33225,CHL,20210206
25489,BRB,20200330
38559,COG,20210320
3283,ALB,20200405
1693,AFG,20210906
7033,ARG,20211007
42239,CRI,20200908
23221,BMU,20220917
9875,AZE,20201219
37426,COD,20201219
51490,DOM,20221009
21235,BLZ,20200406
54304,EGY,20211023
58851,ETH,20220911
52434,DZA,20220625
53906,EGY,20201001
17840,BHR,20220608
12227,BEL,20210722
2887,AGO,20220111
628,ABW,20210904
42578,CRI,20210801
14122,BFA,20201217
26055,BRB,20211004
24454,BRA,20200507
19696,BIH,20210920
43115,CUB,20200301
22857,BMU,20210927
61526,FRA,20210526
42154,CRI,20200617
20397,BLR,20201011
25462,BRB,20200304
59463,FIN,20210704
40098,COL,20220627
35668,CIV,20211215
13099,BEN,20210123
35833,CIV,20220521
41234,CPV,20201111
45694,CZE,20210617
15890,BGR,20200114
29257,BWA,20211101
16919,BGR,20221105
7528,AUS,20200519
57123,EST,20201128
37795,COD,20211213
2398,COM,20200729
11016,BDI,20210309
55520,ERI,20220424
42580,CRI,20210803
7329,ARG,20220722
24452,BRA,20200505
23170,BMU,20220730
43850,CUB,20220216
58445,ETH,20210815
48623,DMA,20201024
33145,CHL,20201121
13444,BEN,20211228
9895,AZE,20210107
20344,BLR,20200820
6439,ARG,20200317
100,ABW,20200407
47505,DJI,20200902
25313,BRA,20220818
34235,CHN,20201210
33577,CHL,20220113
45180,CZE,20200127
9216,AUT,20220120
61475,FRA,20210407
2170,AGO,20200214
52780,ECU,20200718
20266,BLR,20200606
933,ABW,20220625
24078,BOL,20220312
2215,AGO,20200329
52857,ECU,20200930
15881,BGR,20200105
10349,AZE,20220327
4325,AND,20200319
19118,BIH,20200310
53654,EGY,20200128
47978,DJI,20211201
56436,ESP,20211121
30183,CAF,20210711
45352,CZE,20200718
34585,COM,20200415
11492,BDI,20220617
2741,AGO,20210822
16958,BHR,20200130
37987,COD,20220620
58065,ETH,20200814
49243,DMA,20220619
32176,CHE,20210219
4447,AND,20200715
34643,CHN,20220110
43336,CUB,20201005
35844,CIV,20220601
36686,CMR,20211031
27136,BRN,20211022
41467,CPV,20210628
61809,FRA,20220221
41813,CPV,20220530
4102,ALB,20220611
20403,BLR,20201017
56499,ESP,20220120
42225,CRI,20200825
24787,BRA,20210324
14220,BFA,20210322
36856,CMR,20220414
30598,CAF,20220819
48336,DJI,20221112
13699,BEN,20220903
26489,BRN,20200118
33227,CHL,20210208
61881,FRA,20220503
51768,DZA,20200917
5920,ARE,20210824
55567,ERI,20220608
34906,CHN,20220928
47005,DEU,20220210
10659,BDI,20200323
49738,DNK,20201208
40109,COL,20220707
28005,BTN,20210408
43056,CRI,20221110
34391,CHN,20210509
24612,BRA,20201007
59380,FIN,20210413
35303,CIV,20201224
13023,BEN,20201111
35595,CIV,20211004
5332,ARE,20200202
38611,COG,20210509
35952,CIV,20220913
11422,BDI,20220410
4027,ALB,20220330
4155,ALB,20220802
28267,BTN,20211222
45724,CZE,20210716
14597,BFA,20220325
25873,BRB,20210409
1041,ABW,20221005
58998,FIN,20200407
21538,BLZ,20210128
48088,DJI,20220316
38313,COG,20200723
16073,BGR,20200722
21891,BLZ,20220109
5455,ARE,20200601
7174,ARG,20220222
59333,FIN,20210226
54147,EGY,20210524
46564,DEU,20201204
15577,BGD,20220128
10099,AZE,20210725
52990,ECU,20210206
46897,DEU,20211025
40806,COM,20220801
11462,BDI,20220519
1874,AFG,20220228
12797,BEN,20200403
43284,CUB,20200815
29627,BWA,20221027
2752,AGO,20210902
5393,ARE,20200402
14627,BFA,20220423
36460,CMR,20210326
9542,AZE,20200131
38685,COG,20210717
28925,BWA,20201209
52236,DZA,20211216
11259,BDI,20211102
26859,BRN,20210125
4704,AND,20210322
46942,DEU,20211209
47780,DJI,20210526
58497,ETH,20211005
2003,AFG,20220708
38661,COG,20210625
62080,FRO,20200124
60092,FJI,20200511
12842,BEN,20200518
45954,CZE,20220223
41763,CPV,20220410
50084,DNK,20211112
34241,CHN,20201216
4940,AND,20211104
1648,AFG,20210725
42534,CRI,20210618
61977,FRA,20220803
51553,DZA,20200219
51999,DZA,20210430
38731,COG,20210828
46298,DEU,20200321
6181,ARE,20220508
59212,FIN,20201031
31771,CHE,20200108
59331,FIN,20210224
53132,ECU,20210624
24603,BRA,20200928
52608,ECU,20200129
48818,DMA,20210502
47986,DJI,20211209
924,ABW,20220616
16833,BGR,20220810
60383,FJI,20210215
31958,CHE,20200721
22042,BLZ,20220607
785,ABW,20220129
37546,COD,20210415
2492,AGO,20201223
32790,CHE,20221011
58664,ETH,20220314
5633,ARE,20201119
54071,EGY,20210311
15403,BGD,20210807
56795,ESP,20221106
59400,FIN,20210503
23328,BOL,20200308
29427,BWA,20220416
50660,DOM,20200730
49896,DNK,20210512
10896,BDI,20201112
36470,CMR,20210405
3648,ALB,20210327
10941,BDI,20201225
9038,AUT,20210731
51734,DZA,20200815
21439,BLZ,20201023
7909,AUS,20210525
48876,DMA,20210628
44538,CYP,20210319
15723,BGD,20220618
21184,BLZ,20200215
56603,ESP,20220429
50764,DOM,20201110
39006,COG,20220521
60413,FJI,20210316
4467,AND,20200804
50068,DNK,20211027
30595,CAF,20220816
30932,CAN,20200827
30622,CAF,20220912
38243,COG,20200515
8886,AUT,20210302
51810,DZA,20201028
31289,CAN,20210808
41210,CPV,20201019
3167,AGO,20221013
37416,COD,20201209
22529,BMU,20201109
19610,BIH,20210628
22045,BLZ,20220610
6511,ARG,20200527
38098,COD,20221005
14194,BFA,20210225
27002,BRN,20210612
8191,AUS,20220220
58446,ETH,20210816
20900,BLR,20220210
1456,AFG,20210118
34415,CHN,20210601
21214,BLZ,20200316
4323,AND,20200317
27643,BTN,20200422
19923,BIH,20220427
17469,BHR,20210611
50424,DNK,20221011
60497,FJI,20210605
26221,BRB,20220315
54994,ERI,20201121
7680,AUS,20201015
34397,CHN,20210515
30875,CAN,20200703
27934,BTN,20210130
22022,BLZ,20220519
21614,BLZ,20210412
12439,BEL,20220214
27817,BTN,20201008
35055,CIV,20200427
54367,EGY,20211224
53519,ECU,20220703
211,ABW,20200724
50289,DNK,20220603
42764,CRI,20220129
3996,ALB,20220227
23699,BOL,20210308
49202,DMA,20220511
15234,BGD,20210225
22191,BLZ,20221031
23797,BOL,20210610
12682,BEL,20221008
21753,BLZ,20210824
51099,DOM,20210923
22274,BMU,20200308
11967,BEL,20201111
24725,BRA,20210124
40421,COM,20210712
1334,AFG,20200921
43674,CUB,20210901
21157,BLZ,20200119
15657,BGD,20220415
47463,DJI,20200723
41722,CPV,20220302
43751,CUB,20211111
55916,ESP,20200710
4525,AND,20200929
57363,EST,20210718
10686,BDI,20200419
2645,AGO,20210521
31654,CAN,20220730
49466,DNK,20200320
55027,ERI,20201223
57992,ETH,20200604
54877,ERI,20200728
46752,DEU,20210607
42605,CRI,20210828
34747,CHN,20220422
12867,BEN,20200612
40501,COM,20210930
25856,BRB,20210323
35837,CIV,20220525
3063,AGO,20220703
58362,ETH,20210528
8514,AUT,20200306
57396,EST,20210818
14245,BFA,20210415
18367,BHS,20201227
12724,BEN,20200105
42992,CRI,20220909
42885,CUB,20221113
59531,FIN,20210907
10077,AZE,20210704
9454,AUT,20220903
57366,EST,20210721
57301,EST,20210520
34227,CHN,20201202
25471,BRB,20200313
48219,DJI,20220723
45950,CZE,20220219
24929,BRA,20210809
42138,CRI,20200602
19165,BIH,20200423
1706,AFG,20210919
27750,BTN,20200804
44766,CYP,20211031
39594,COL,20210307
711,ABW,20211121
17039,BHR,20200419
44369,CYP,20201005
25180,BRA,20220411
29360,BWA,20220210
29659,CAF,20200212
29903,CAF,20201007
8273,AUS,20220512
13981,BFA,20200801
26800,BRN,20201129
9514,AUT,20221029
19645,BIH,20210801
47557,DJI,20201022
58413,ETH,20210716
6285,ARE,20220818
25872,BRB,20210408
30405,CAF,20220210
52118,DZA,20210824
21527,BLZ,20210117
15851,BGD,20221021
48075,DJI,20220304
54001,EGY,20210102
21460,BLZ,20201113
58605,ETH,20220117
58076,FIN,20200117
16689,BGR,20220314
48750,DMA,20210225
31232,CAN,20210612
13647,BEN,20220714
10703,BDI,20200505
60552,FJI,20210728
5090,AND,20220329
20628,BLR,20210524
49477,DNK,20200331
43721,CUB,20211014
20502,BLR,20210121
39440,COM,20200605
26728,BRN,20200920
489,ABW,20210421
41994,CRI,20200108
29482,BWA,20220608
33342,CHL,20210529
56230,ESP,20210507
15587,BGD,20220207
30477,CAF,20220420
61293,FRA,20201014
40017,COL,20220411
39401,COL,20200904
18110,BHS,20200421
40377,COM,20210529
50239,DNK,20220415
41646,CPV,20211219
61813,FRA,20220225
1175,AFG,20200419
12768,BEN,20200305
216,ABW,20200728
48966,DMA,20210924
24729,BRA,20210128
36962,CMR,20220726
21588,BLZ,20210318
22429,BMU,20200803
51872,DZA,20201227
47234,DEU,20220927
24880,BRA,20210622
43784,CUB,20211213
45316,CZE,20200613
14695,BFA,20220630
52891,ECU,20201102
12524,BEL,20220509
6273,ARE,20220806
56046,ESP,20201112
12365,BEL,20211203
15566,BGD,20220117
45218,CZE,20200310
39549,COL,20210121
54734,ERI,20200309
4012,ALB,20220315
24403,CAF,20200121
26164,BRB,20220120
1905,AFG,20220330
6195,ARE,20220522
53459,ECU,20220507
28683,BWA,20200416
30914,CAN,20200810
46798,DEU,20210721
60696,FJI,20211214
22536,BMU,20201116
35277,CIV,20201129
33131,CHL,20201107
34775,CHN,20220520
53691,EGY,20200305
2809,AGO,20211028
15333,BGD,20210531
49885,DNK,20210501
20603,BLR,20210429
19491,BIH,20210303
2758,AGO,20210908
43735,CUB,20211026
559,ABW,20210627
26631,BRN,20200618
14725,BFA,20220729
61516,FRA,20210516
56649,ESP,20220613
51540,DZA,20200206
25363,BRA,20221005
10201,AZE,20211102
30841,CAN,20200601
3678,ALB,20210426
4031,ALB,20220403
36135,CMR,20200511
18938,BHS,20220705
20418,BLR,20201031
3466,ARE,20200121
51427,DOM,20220809
44319,CYP,20200818
1147,AFG,20200322
16222,BGR,20201213
4143,ALB,20220721
55482,GRD,20200429
54928,ERI,20200917
4235,ALB,20221019
57025,EST,20200825
42832,CRI,20220404
36473,CMR,20210408
52167,DZA,20211010
39165,COG,20221021
15864,BGD,20221102
15284,BGD,20210414
61705,FRA,20211115
47281,DEU,20221112
39647,COL,20210425
24275,BOL,20220920
54618,EGY,20220829
18237,BHS,20200823
3373,ALB,20200702
36235,CMR,20200817
6383,ARG,20200108
39413,COL,20200915
49615,DNK,20200811
6908,ARG,20210609
58867,ETH,20220927
30367,CAF,20220104
60441,FJI,20210412
16235,BGR,20201226
12850,BEN,20200526
44190,CYP,20200415
8226,AUS,20220327
20008,BIH,20220718
13804,BFA,20200210
11329,BDI,20220110
19679,BIH,20210904
11548,BDI,20220811
4639,AND,20210118
5860,ARE,20210626
26803,BRN,20201202
25102,BRA,20220124
14117,BFA,20201212
57465,EST,20211025
60949,FJI,20220814
32054,CHE,20201022
18275,BHS,20200928
17063,BHR,20200513
12231,BEL,20210726
59756,FIN,20220410
57513,EST,20211210
59248,FIN,20201205
40795,COM,20220721
21300,BLZ,20200609
37008,CMR,20220909
47152,DEU,20220704
22190,BLZ,20221030
54331,EGY,20211118
57725,EST,20220702
47683,DJI,20210221
36239,CMR,20200821
12313,BEL,20211013
9316,AUT,20220428
29525,BWA,20220720
50684,DOM,20200823
50060,DOM,20200128
20136,BLR,20200130
27673,BTN,20200522
6730,ARG,20201219
31455,CAN,20220116
1251,AFG,20200703
17735,BHR,20220226
16321,BGR,20210319
28668,BWA,20200401
33066,CHL,20200905
