country_date_id,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support
116574,1,1,1,0.00,0.00
7979,0,,0,0.00,0.00
80083,0,,1,0.00,0.00
149836,1,0,2,,
127414,0,,2,0.00,0.00
119218,1,1,2,,
17483,2,0,2,0.00,0.00
64611,2,1,2,0.00,0.00
124626,0,,0,,
76751,2,0,2,0.00,0.00
11816,2,0,2,0.00,0.00
1668,0,,0,,
130715,2,1,0,0.00,0.00
62545,1,1,0,0.00,0.00
65518,1,0,1,0.00,0.00
26707,1,0,2,0.00,0.00
106554,0,,0,0.00,0.00
120968,0,,0,0.00,0.00
115516,0,,0,0.00,0.00
67592,1,0,2,0.00,0.00
73012,0,,2,,
100235,2,0,2,0.00,0.00
148276,2,0,2,0.00,0.00
75988,1,1,2,0.00,0.00
109283,0,,2,0.00,0.00
146431,2,0,0,0.00,0.00
149005,0,,0,0.00,0.00
8916,2,1,2,0.00,0.00
133237,1,0,2,,
75087,0,,0,0.00,0.00
61161,2,1,1,0.00,0.00
63559,0,,2,0.00,0.00
58775,0,,0,,
82350,0,,1,0.00,0.00
47328,0,,0,0.00,0.00
18982,0,,0,,
97104,1,1,0,0.00,0.00
11605,0,,0,,
86887,2,1,2,,
5923,0,,2,,
140095,0,,0,0.00,0.00
42005,0,,0,0.00,0.00
36482,0,,0,0.00,0.00
47401,1,0,0,0.00,0.00
6170,0,,0,,
85605,1,0,1,,
51968,0,,1,0.00,0.00
107895,2,1,2,,
38262,0,,0,0.00,0.00
18312,1,1,0,0.00,0.00
65172,0,,0,,
36267,0,,1,0.00,0.00
16289,2,0,1,0.00,0.00
144261,1,1,0,0.00,0.00
45752,1,1,2,,
50933,0,,0,,
73260,1,0,2,,
61465,2,1,0,0.00,0.00
4076,0,,0,,
28716,1,0,2,0.00,0.00
6599,1,1,2,0.00,0.00
1317,0,,0,0.00,0.00
143363,1,1,2,,
76339,1,1,2,,
133226,1,0,2,,
37280,0,,2,0.00,0.00
89063,1,1,1,,
148788,2,0,1,,
122848,1,1,1,0.00,0.00
68894,0,,0,0.00,0.00
49929,2,1,0,0.00,0.00
95513,1,1,2,,
77412,1,0,2,,
60666,1,1,2,,
98690,0,,0,0.00,0.00
89720,1,1,1,0.00,0.00
122529,0,,0,,
57597,0,,0,,
59602,2,1,1,,
25509,1,0,1,0.00,0.00
141021,2,1,1,0.00,0.00
8961,2,1,2,0.00,0.00
45947,2,0,0,,
12360,2,1,1,,
101748,1,1,1,,
60130,1,1,2,0.00,0.00
138565,0,,0,0.00,0.00
93225,0,,0,,
36741,0,,0,,
114229,1,0,1,,
81079,1,0,1,0.00,0.00
73005,0,,2,0.00,0.00
16963,0,,1,0.00,0.00
125968,0,,0,0.00,0.00
108919,0,,0,,
99878,0,,1,0.00,0.00
100718,0,,0,,
71440,2,0,0,0.00,0.00
153702,0,,0,0.00,0.00
60122,1,1,2,0.00,0.00
106387,0,,0,0.00,0.00
108529,1,0,2,0.00,0.00
49311,0,,0,,
119353,2,0,0,,
55462,0,,0,,
84476,1,0,1,0.00,0.00
133099,1,0,2,,
107269,2,1,1,0.00,0.00
32691,0,,0,,
105173,0,,2,0.00,0.00
109728,0,,0,0.00,0.00
108157,0,,0,0.00,0.00
5241,0,,0,0.00,0.00
113309,1,1,0,,
127096,0,,1,0.00,0.00
13290,1,1,1,0.00,0.00
87032,0,,0,,
1985,0,,0,,
149147,1,0,2,0.00,0.00
124696,0,,0,,
125846,1,1,2,,
129791,0,,1,,
109876,1,1,1,,
43467,0,,2,0.00,0.00
134386,0,,0,0.00,0.00
64824,2,1,2,,
54670,1,1,0,,
69340,0,,0,,
70506,2,1,2,,
54512,1,1,0,,
77235,1,0,2,,
49067,0,,0,,
27579,0,,0,0.00,0.00
128819,0,,0,,
145401,0,,0,,
80235,1,0,1,0.00,0.00
35335,0,,2,0.00,0.00
33918,0,,0,0.00,0.00
95105,1,1,2,,
4136,0,,0,,
42714,0,,1,,
119235,1,0,2,,
119016,1,1,2,0.00,0.00
79058,1,1,1,0.00,0.00
36688,0,,0,,
38293,0,,0,0.00,0.00
107897,2,1,2,,
38090,0,,0,,
11514,0,,0,,
142215,1,1,0,0.00,0.00
10928,1,0,1,0.00,0.00
133220,1,0,2,,
86799,2,1,2,,
41962,0,,0,,
149015,0,,0,0.00,0.00
42215,1,1,1,0.00,0.00
31972,2,0,0,0.00,0.00
68069,0,,0,,
124312,1,1,1,0.00,0.00
134503,2,0,1,0.00,0.00
124621,0,,0,,
72666,1,0,2,0.00,0.00
135367,0,,0,,
93570,1,1,1,0.00,0.00
3605,1,1,2,0.00,0.00
86134,0,,2,0.00,0.00
36183,1,0,1,0.00,0.00
124356,1,1,0,0.00,0.00
104140,0,,0,,
74809,0,,1,0.00,0.00
59832,1,1,1,,
50096,0,,0,,
22489,2,0,1,0.00,0.00
119017,1,1,2,0.00,0.00
137069,1,1,0,,
122072,0,,0,0.00,0.00
132711,0,,0,0.00,0.00
130340,2,0,2,0.00,0.00
87054,0,,0,,
145024,0,,2,0.00,0.00
136139,1,1,2,,
149191,1,0,2,0.00,0.00
139104,0,,0,,
43580,0,,2,0.00,0.00
148095,2,0,2,0.00,0.00
18911,0,,0,,
69983,2,0,2,0.00,0.00
36737,0,,0,,
85828,0,,0,,
152933,0,,0,,
88018,2,1,1,,
42340,1,1,1,0.00,0.00
117522,0,,0,,
59077,2,1,1,0.00,0.00
57374,0,,0,,
137422,0,,0,,
8993,2,1,2,0.00,0.00
130688,2,1,1,0.00,0.00
20189,0,,0,0.00,0.00
67418,0,,0,0.00,0.00
3979,1,1,1,,
65937,0,,0,,
154708,2,1,2,0.00,0.00
71557,2,0,0,0.00,0.00
97433,1,1,0,,
14883,0,,1,0.00,0.00
94719,1,1,1,0.00,0.00
5933,0,,2,,
95109,1,1,2,,
65598,1,0,1,0.00,0.00
43012,0,,0,,
94951,1,0,1,0.00,0.00
133022,1,0,2,,
25775,1,0,1,0.00,0.00
1120,0,,0,0.00,0.00
78464,0,,0,,
63099,0,,0,,
73358,1,0,2,,
31022,2,0,1,0.00,0.00
133751,1,1,2,0.00,0.00
126768,0,,0,,
86819,2,1,2,,
64868,0,,1,,
140754,1,0,1,0.00,0.00
46724,2,0,0,0.00,0.00
69454,0,,0,,
41033,1,1,2,0.00,0.00
93702,1,1,0,0.00,0.00
13928,0,,0,0.00,0.00
50,0,,0,0.00,0.00
102330,1,0,0,0.00,0.00
75361,0,,0,,
80479,0,,1,,
113306,1,1,0,,
3670,1,1,1,0.00,0.00
139475,0,,0,,
140792,1,0,1,0.00,0.00
16317,2,0,1,0.00,0.00
41635,1,0,0,,
155041,0,,0,0.00,0.00
1679,0,,0,,
140007,0,,2,0.00,0.00
111155,1,1,2,,
81831,2,1,2,,
44304,2,1,2,0.00,0.00
121670,0,,0,,
59928,1,1,1,,
52391,0,,0,,
68382,0,,0,,
99275,1,0,1,,
12898,2,0,1,0.00,0.00
101573,1,1,1,,
2422,0,,0,0.00,0.00
9220,2,1,2,,
63198,0,,0,0.00,0.00
1343,0,,0,0.00,0.00
108308,2,1,2,0.00,0.00
81111,1,0,1,0.00,0.00
151526,2,0,1,0.00,0.00
127496,0,,2,0.00,0.00
95128,1,1,2,,
83825,0,,0,,
57917,0,,0,0.00,0.00
60979,1,1,1,,
22182,0,,0,,
122496,0,,0,,
103109,0,,0,0.00,0.00
48912,0,,0,0.00,0.00
66200,0,,0,,
94450,0,,0,,
59677,1,1,1,,
16660,2,0,2,,
107463,1,0,2,0.00,0.00
146042,2,0,0,0.00,0.00
