country_date_id,majority,population
76486,V,85.89
70187,V,60.68
149251,NV,0.00
132332,NV,0.00
86052,NV,17.68
124534,NV,3.34
169080,NV,0.00
104423,NV,29.25
100821,NV,0.00
110855,NV,49.37
13081,NV,0.00
54134,NV,0.21
49258,NV,41.88
185466,V,83.44
101834,NV,0.00
87489,NV,0.00
25147,V,73.03
149171,NV,0.00
149329,NV,0.00
124110,NV,0.00
59204,NV,0.00
120131,NV,44.89
185472,V,83.45
27069,NV,13.15
5308,V,66.98
155997,NV,6.42
106312,NV,0.00
118242,V,82.52
91713,NV,0.00
139769,NV,0.00
5435,NV,0.00
10412,NV,46.81
165534,V,57.51
132594,NV,0.00
21119,V,66.99
154613,NV,0.00
88180,V,65.15
68823,NV,0.00
9190,V,72.64
180886,NV,0.00
129432,NV,0.00
90753,NV,2.53
137806,NV,0.00
126309,NV,0.00
14741,NV,7.23
16236,NV,0.00
120418,V,63.96
8283,V,82.48
19646,NV,7.28
150607,NV,1.84
144592,NV,49.14
64285,NV,0.00
110152,V,70.57
9407,V,76.31
62620,NV,38.17
88173,V,65.15
8167,V,77.08
2695,NV,1.58
64541,NV,0.00
104902,V,67.21
35335,NV,0.00
128321,NV,0.00
4656,NV,0.00
69761,NV,0.00
164167,NV,10.50
186003,NV,0.00
32477,V,65.75
176196,V,55.57
130830,V,65.94
177611,NV,0.00
56730,V,85.44
42266,NV,0.00
19510,NV,0.00
15176,NV,0.00
184428,NV,38.17
108038,V,68.31
79227,NV,0.00
80854,NV,0.00
22199,V,54.48
42466,NV,4.49
44259,NV,0.00
10815,NV,0.00
103307,NV,0.00
59240,NV,0.00
38864,NV,2.28
37517,NV,0.00
146302,NV,0.00
98957,NV,0.00
42523,NV,13.25
2575,NV,0.00
21764,NV,18.53
807,V,75.45
20440,NV,0.00
176103,V,51.79
66402,NV,0.00
120230,V,62.11
29405,NV,49.14
173171,NV,0.00
180958,NV,0.00
179314,V,51.63
158190,V,67.21
64267,NV,0.00
469,NV,9.55
131691,NV,19.09
150172,NV,0.00
109645,NV,4.78
77095,NV,0.03
23715,NV,0.34
70387,V,73.36
87420,NV,0.00
4960,V,62.04
183496,NV,26.32
35892,NV,24.18
19645,NV,7.28
11700,NV,0.00
3828,NV,25.54
88342,NV,0.00
135163,V,66.08
105633,V,62.52
19519,NV,0.00
132912,NV,21.23
150927,V,61.90
11143,NV,0.00
180267,V,62.16
106659,NV,14.72
11984,NV,0.00
97465,NV,46.23
26927,NV,0.00
17713,V,81.22
171805,NV,12.15
67132,NV,15.09
65898,NV,23.83
51735,NV,0.00
6320,V,103.72
13563,NV,18.88
51059,NV,39.75
5796,NV,40.64
19572,NV,1.10
184102,NV,0.30
38185,NV,0.00
106412,NV,0.00
194712,NV,2.13
175540,NV,0.00
13351,NV,0.16
89625,NV,0.00
194462,NV,0.00
90007,NV,21.68
15908,NV,0.00
180425,V,62.30
108798,NV,5.85
52037,NV,0.00
71014,NV,28.26
139694,NV,0.00
50599,NV,0.00
37699,NV,0.02
190678,V,77.59
190090,NV,0.00
5269,V,66.98
95239,NV,14.95
44929,V,71.86
185985,NV,0.00
166611,V,71.76
80657,V,62.16
5468,NV,0.00
154021,NV,6.00
127629,NV,1.23
60731,V,65.85
132823,NV,4.92
101927,NV,0.00
136289,V,53.03
100033,NV,0.00
35444,NV,0.00
162193,NV,0.04
166089,NV,0.00
72333,V,68.15
